City,Hotel Name,Reviewer Name,Reviewer Nationality,Duration,Check-in Date,Travel Type,Room Type,Review Date,Positive Review,Negative Review,Negative Review Translated,Positive Review Translated,sentiment classification,Semantic Phrases Pos,Semantic Phrases Neg,positive tokens,negative tokens
Sharm El Sheikh,Amphoras Blu,Mohanad,Egypt,1 night   ,December 2024,Family,Standard Room Garden View,"January 22, 2025",rooms big clean,buggy service worst baby called reception send buggy room reception every time saying available reached buggies park use resort big make sure staying room nearr reception entrance special baby really difficult ua reach reception room min walking reach restaurant good,"Buggy service is the worst 
I have a baby and called reception to send buggy from the room to reception every time they are saying it's not available when we reached there was more than 3 buggies park there with no use.

Resort is very big and you have to make sure that you are staying in room nearr to the reception/ entrance special of you have baby it was really difficult for ua to reach the reception from the room as it was 10 min walking to reach out.

Restaurant is good.",Rooms are big and clean,-1,"['big', 'clean', 'big clean', 'rooms', 'rooms big']","['worst baby', 'resort big', 'room nearr reception', 'buggies park', 'service worst']",['clean'],"['room', 'service']"
Aswan,Maghrabi Guest house,Fei,Germany,2 nights   ,February 2023,Couple,Double Room with Garden View,"February 20, 2023",super nice host nice view nile river rooms look unique,hard find food around season take boat crossing river,it’s hard to find food around in off season. you have to take the boat crossing the river.,"super nice host, very nice view over Nile river. rooms look unique!",-1,"['super', 'unique', 'host nice view', 'nile river', 'rooms look']","['crossing', 'boat', 'hard food', 'river', 'food season']","['nile', 'view']",['food']
Aswan,Citymax Hotel Aswan,Exposito,Netherlands,1 night   ,December 2024,Solo traveler,Standard Twin Room,"December 22, 2024",great location near lot sites view nile great get room view breakfast also good,curtains room time pyramids build rest okay dated okay,"Curtains in the room where from the time the pyramids were build. Rest was okay, dated, but okay.","Great location, near a lot of sites and the view of the Nile is great. Get the room with a view! Breakfast is also good.",-1,"['sites view', 'breakfast good', 'room', 'location near lot', 'nile']","['okay dated', 'time', 'build rest', 'pyramids', 'curtains room']","['nile', 'room', 'location', 'breakfast', 'view']",['room']
Sharm El Sheikh,Cleopatra Luxury Resort Sharm Adults years plus,Ahmed,Egypt,2 nights   ,October 2024,Group,Deluxe Room Pool or Garden View,"October 21, 2024",clean,nothing,Nothing,Very clean,1,[],[],[],[]
Luxor,Rezeiky Hotel Camp,Jako82,Italy,2 nights   ,Jan-24,Couple,Deluxe Twin Room Pool & Garden View,"January 18, 2024",quiet despite near main road karnak location green generally peaceful good place rest relax breakfast varied fresh room good large clean loved sofa outside price ok services offered acceptable price even found better looking around,bit far center course knew keep mind quite long walk anywhere course always take taxi wifi always working fine hiccups especially evening,"It's a bit far from the center, of course we knew that, just keep that in mind: it's a quite long walk from anywhere. Of course, you can always take a taxi.
Wifi not always working fine, a few hiccups especially in the evening.","Very quiet despite being near the main road to Karnak. Location is very green and generally peaceful, a good place to rest and relax.
Breakfast was varied and fresh.
Room was good, large and clean, loved the sofa outside.
Price was ok, services offered had an acceptable price even if we found better looking around ourselves.",-1,"['location', 'breakfast varied fresh', 'quiet despite near', 'karnak', 'sofa outside price']","['bit far center', 'evening', 'walk course', 'wifi working fine', 'taxi']","['location', 'breakfast']","['taxi', 'wifi']"
Luxor,Steigenberger Resort Achti,Sravani,United States,1 night   ,Jan-25,Solo traveler,Twin Room with City View,"January 3, 2025",number restaurants within resort well small shopping arcade want hassled vendors nice views valley kings,gym walking trail would nice,No gym. Some walking trail would be nice.,A number of restaurants within the resort as well as a small shopping arcade for those who do not want to be hassled by vendors. Nice views of the valley of Kings .,-1,"['kings', 'want hassled vendors', 'arcade', 'views valley', 'restaurants resort small']","['nice', 'walking', 'gym', 'trail', 'walking trail']",[],[]
Luxor,Happy Land Luxor,Stoppel,Argentina,4 nights   ,Feb-25,Family,Single Room with Bath,"February 8, 2025",pleasant plase,room breakfast little small,The room where we have breakfast a little small,It is a pleasant plase,-1,[],"['little', 'little small', 'room', 'breakfast', 'room breakfast']",[],"['breakfast', 'room']"
Luxor,Lotus Luxor Hotel,Irene,United States,3 nights   ,Jul-24,Family,Standard Twin Room Nile View,"July 17, 2024",staff nice lobby restaurant site air conditioned pool nice complimentary bottles water room breakfast included price pretty good selection made order omelettes breakfast items included pastries yoghurt fruit boiled eggs beans potato dish coffee tea also offered breakfast available room also ate restaurant lunch dinner prices restaurant good also clothes washed pressed prices per item however cost reasonable compared hotels stayed paid around bottoms tops nightgown pairs socks undergarments hotel right nile view beautiful security guard gate entrance property made us feel safe,hotel accepts cash atm right outside front door work us tried atms across street found one worked base shower dirty,"The hotel only accepts cash, and the ATM right outside the front door did not work for us. We tried 5 ATMs across the street before we found one that worked. The base of the shower was dirty.","The staff were very nice, the lobby and restaurant on site were air conditioned. The pool was nice. There were a few complimentary bottles of water in our room. Breakfast was included in the price and there was a pretty good selection. We had made to order omelettes. Other breakfast items included pastries, yoghurt, fruit, boiled eggs, beans, and a potato dish. Coffee and tea were also offered at breakfast and available in our room. We also ate in the restaurant for lunch and dinner. The prices in the restaurant were very good. We also had some clothes washed and pressed. The prices are per item; however, the cost was very reasonable compared to other hotels we stayed in. We paid around $6 for 6-7 bottoms, 3-4 tops, 1 nightgown, 3 pairs of socks, and 3 undergarments. The hotel is right on the Nile, and the view was beautiful! There was a security guard and gate at the entrance of the property, which made us feel safe.",-1,"['dinner prices restaurant', 'pool nice', 'site air conditioned', 'breakfast included price', 'hotel right nile']","['right outside', 'door', 'work tried atms', 'shower dirty', 'hotel accepts cash']","['nile', 'pool', 'hotel', 'restaurant', 'breakfast']","['shower', 'hotel', 'dirty']"
Aswan,Steigenberger Omar El Khayam Nile Cruise Every Monday Aswan Nights Every Friday Abu Simbel Nights,Sally,United Arab Emirates,4 nights   ,December 2023,Family,Standard Cabin,"December 22, 2023",recently pleasure experiencing omar al khayam lake nasser cruise truly exceptional entire journey exceeded expectations every way ship accommodations luxurious staff attentive friendly breathtaking views along lake made unforgettable adventure delicious onboard dining well organized excursions every aspect cruise showcased commitment excellence highly recommend cruise anyone seeking perfect blend comfort hospitality captivating scenery experience linger memories lifetime,nothing,Nothing,"""I recently had the pleasure of experiencing Omar Al Khayam lake nasser cruise, and it was truly exceptional. The entire journey exceeded my expectations in every way. The ship's accommodations were luxurious, the staff was attentive and friendly, and the breathtaking views along the Lake made for an unforgettable adventure. From the delicious onboard dining to the well-organized excursions, every aspect of the cruise showcased a commitment to excellence. I highly recommend this cruise to anyone seeking a perfect blend of comfort, hospitality, and captivating scenery. It's an experience that will linger in my memories for a lifetime.""",1,"['khayam lake', 'recommend cruise seeking', 'cruise showcased commitment', 'truly exceptional entire', 'pleasure experiencing omar']",[],[],[]
Aswan,Nuba Dool,Prashant,India,1 night   ,November 2023,Solo traveler,Double Room with Private Bathroom,"November 18, 2023",especially like welcome pudding nice gesture lovely helpful people,negative feedback,No Negative Feedback,I especially like the welcome pudding . A very nice gesture . And lovely and very helpful people .,1,"['gesture', 'people', 'helpful', 'especially like', 'pudding nice']",[],[],[]
Hurghada,Jaz Casa Del Mar Beach,Simona,United Kingdom,4 nights   ,November 2024,Solo traveler,"Superior, Queen or Twin Bed, Garden View","December 5, 2024",really liked location starting food important one options choose want eat staff professional respectful resort clean good point highly recommend location fact close airport,negative feedback,No Negative Feedback,"I really liked this location, starting with the food, it is a very important one. You have all the options to choose what you want to eat. The staff is very professional and respectful! The resort is very clean, this is a very good point! 
I highly recommend this location! 
And the fact that it is close to the airport♥️",1,"['location starting', 'food important', 'close airport', 'really liked', 'professional respectful resort']",[],"['location', 'food']",[]
